,Time,Solar8000/HR
1220,2442.5,94
1221,2444.5,94
1222,2446.5,94
1223,2448.5,94
1224,2450.5,94
1225,2452.5,94
1226,2454.5,94
1227,2456.5,94
1228,2458.5,93
1229,2460.5,93
1230,2462.5,93
1231,2464.5,93
1232,2466.5,93
1233,2468.5,92
1234,2470.5,91
1235,2472.5,90
1236,2474.5,90
1237,2476.5,89
1238,2478.5,88
1239,2480.5,88
1240,2482.5,89
1241,2484.5,89
1242,2486.5,90
1243,2488.5,90
1244,2490.5,91
1245,2492.5,91
1246,2494.5,91
1247,2496.5,91
1248,2498.5,91
1249,2500.5,91
1250,2502.5,91
1251,2504.5,91
1252,2506.5,91
1253,2508.5,91
1254,2510.5,90
1255,2512.5,90
1256,2514.5,90
1257,2516.5,89
1258,2518.5,89
1259,2520.5,89
1260,2522.5,89
1261,2524.5,89
1262,2526.5,89
1263,2528.5,89
1264,2530.5,89
1265,2532.5,89
1266,2534.5,89
1267,2536.5,89
1268,2538.5,89
1269,2540.5,89
1270,2542.5,89
1271,2544.5,89
1272,2546.5,89
1273,2548.5,88
1274,2550.5,89
1275,2552.5,89
1276,2554.5,89
1277,2556.5,89
1278,2558.5,88
1279,2560.5,89
1280,2562.5,89
1281,2564.5,89
1282,2566.5,89
1283,2568.5,89
1284,2570.5,89
1285,2572.5,89
1286,2574.5,90
1287,2576.5,89
1288,2578.5,89
1289,2580.5,89
1290,2582.5,89
1291,2584.5,89
1292,2586.5,89
1293,2588.5,89
1294,2590.5,89
1295,2592.5,89
1296,2594.5,90
1297,2596.5,90
1298,2598.5,90
1299,2600.5,90
1300,2602.5,90
1301,2604.5,90
1302,2606.5,90
1303,2608.5,90
1304,2610.5,90
1305,2612.5,90
1306,2614.5,90
1307,2616.5,90
1308,2618.5,89
1309,2620.51,89
1310,2622.51,89
1311,2624.51,89
1312,2626.51,89
1313,2628.51,89
1314,2630.51,90
1315,2632.51,90
1316,2634.51,89
1317,2636.51,89
1318,2638.51,90
1319,2640.51,90
1320,2642.51,90
1321,2644.51,90
1322,2646.51,90
1323,2648.51,90
